,frag_smiles
0,CCN(CC(=O)N(C)C)C(N)=O
1,CNNC(=O)OCC
2,CN(O)C(=O)CCCO
3,CC(N)C1(O)CCCSC1
4,CC=C1CCC(C)CC1
5,CN(C)C(=O)CCC(C)(N)O
6,[NH3+]C(CS)c1cscc1Br
7,CC(S)C(=O)NCC(N)=O
8,Nc1ccc(F)cc1C(F)(F)F
9,Cc1cc(C)c2[nH]ncc2c1
10,CC(=O)Nc1cc(N)ccc1N=N
11,[N-]c1ccccc1C=O
12,CCC(C)(C(=O)[O-])C1CCCC(O)C1
13,[CH]C(C)C(CC)[NH2+]C(CC)CC
14,CC1C2C=CC(CC2)C1C(=O)[O-]
15,CCOC(=O)NC(C)(C)C
16,C=CCCC(C)=O
17,[CH]CC(=O)CCCC
18,CCC(c1cccc(Br)c1)N(C)C
19,CNS(=O)(=O)c1ccccc1OC
20,CC(C)OC
21,Cc1cc(N)nc2nn(C)c(C)c12
22,CC(C)OC1CCCC(=O)C1
23,[CH]N1CCOC2CC[CH]CC21
24,[CH]C([CH])N(CC)C(C)=O
25,CCC([NH2+]CC(C)S)C(C)(C)O
26,CC1[CH]C2(C)CCC1C2C
27,CC1CCN(C(C)C)CC1
28,CN(C)c1cc(C(N)=O)ccc1Cl
29,CC(N)CCO
30,[CH]C(=C)c1ccccn1
31,[CH]C(O)C(=O)N([CH])C
32,C[NH+](C)CC
33,COC(=O)N1CCC(C)C1
34,CC(C)c1ccc(O)c(C(N)=O)c1
35,[CH]C(=O)OC1CCC(S)C1
36,CC(O)CNC(CS)C(C)S
37,CC(C)C(O)c1cc(O)cc(O)c1
38,[CH]C(C)[NH+](C)CC(C)(C)C[NH3+]
39,[CH]C(C)c1ncccc1C
40,CC(O)CNC(=O)C(C)(C)[NH2+]
41,C=CNc1cccc(Cl)c1
42,CNc1snc(C)c1C(=O)O
43,CC(C)(C)C1=CCC=CC1=O
44,CNc1cc(C)ccc1F
45,CC(C)N(C)C(=O)C1CCC1
46,Cc1cc(N)cc(S(=O)(=O)[O-])c1N
47,[CH]OC1(CCl)OC(CCl)C(O)C1O
48,Cc1c[nH]c(C2([NH3+])CCC2)n1
49,CC(C)(C)c1nnc(CCl)s1
50,[CH]SCc1cccc(O)c1
51,C[NH2+]Cc1ccccc1CS
52,[CH]C[NH+](C(C)C)C1CCCC(C)(C)C1[NH3+]
53,CC([NH+])c1ncon1
54,CC1[CH]CC(O)C(O)C1O
55,CC[NH+](C)CC(C)C[NH3+]
56,CNC=CNC(N)=O
57,[NH2+]Cc1cc(Br)ccc1O
58,[CH]CC(=O)NC(C#N)C(C)(C)C
59,CC(C)NC(C)C(=O)N(C)C
60,C[NH2+]Cc1c(C)noc1C
61,CC(NS)c1nnc(N)s1
62,[CH][NH+]1CCC(CC)CC1
63,[CH]c1cc(C)ccc1NC
64,[CH]C(C)c1ccccc1[N+](=O)[O-]
65,CC(C)C1CNCCS1
66,CC1=C(N=N)CC[NH+](C)C1
67,CC1CC(C)C(=O)CC1=O
68,C[NH+](C)CCCC(N)=O
69,CC(C)C(=O)CCCC
70,[CH]NS(=O)(=O)CCC(C)C
71,CC1CCC(C)(N)CC1
72,Cn1ccc(C[NH2+])c1
73,CNc1cc(C)nn1C
74,COC(CO)CNC(C)=O
75,CCc1nn(C)c(Cl)c1CN
76,C[NH+](C)CCS(N)(=O)=O
77,C=CC(=O)NC(=S)N(C)C
78,CC([NH2+])c1c(N)cccc1F
79,CC(C)c1[nH+]ccn1CCN
80,NC(=O)S(=O)(=O)c1ccccc1
81,C[NH+](C)C1CCC(NS)C1
82,CCN(C)c1cc(Br)cc(F)c1C(N)=O
83,CCC([NH2+]C(CC)C(C)S)C(C)C
84,C[NH2+]C1CCOc2c(Cl)ccc(Cl)c21
85,[CH]CC([NH3+])CC
86,[CH]N(C)c1ccc(N)cc1Cl
87,Cc1cccc([N+](=O)[O-])c1S(=O)(=O)NN
88,[CH]C[NH2+]CC1CCC1
89,[CH]C1([CH])CCC(C)CC1
90,CCCC(C(=O)[O-])C(CC)CS
91,CC(S)C(CS)N1CCCC1
92,[CH]NC(=O)N(C)C1CCC1(C)C
93,Cc1cc(N)c(C)[nH]1
94,C=C(C)C(CC(=O)[O-])C(N)=O
95,CCCCC(NS)C(C)C
96,C[NH+](C)Cc1ccccc1C(=O)O
97,CNC(CCC(N)=O)ON
98,CNC(=O)CC(C)=NN
99,[CH]Sc1ccc(Cl)c(Cl)c1
100,C=C1[CH]C(C)C(C)(C(C)(C)O)C=C1
101,COC(c1nc(C)cs1)C(F)(F)F
102,CC(C)(C[NH+])CNS(C)(=O)=O
103,COC(=O)c1nc(C)oc1N
104,CC(=O)Cc1c(F)cccc1F
105,[CH]C(C)C1CCC(=N)C1(C)C
106,CC1=NC(S)=NC(=O)C1
107,CC(=O)N1CC(O)C([NH+](C)C)C1
108,[CH]c1cc(O)c(OC)cc1C(N)=O
109,[N+]c1ccc(Br)cc1CN
110,CCC(CC)n1ccc(C)n1
111,CC(O)CC1CCCC1O
112,[CH]Nc1ccccc1SC
113,CCC1(C(C)C)NC(=O)N(CN)C1=O
114,Cc1nc(CCN)cc(=O)[nH]1
115,[CH]C1OCC(C)(CC)CO1
116,[CH]C1[CH]CCC2(C)C(C(C)C)CCC12
117,CCSc1cncc(S)n1
118,COc1c(N)cc(C)cc1Cl
119,Cc1ccc2c(c1C)OCC2N
120,CS(=N)(=O)c1ccccc1
121,Cc1cn2c(n1)CC[CH]C2
122,Cc1oc(C)c(C(=O)N(C)C)c1C
123,CCCC(CC(C)[NH2+])C(CC)CC
124,[NH2+]Cc1cc(O)c(O)cc1Br
125,CC(C)(C)CC[NH3+]
126,NC(N)c1cc([N+](=O)[O-])ccc1O
127,CCP(=O)([O-])C[NH+](C)C
128,CCn1ccc2ccc(F)cc21
129,[CH]S(=O)(=O)Cc1noc(C)n1
130,COc1ccc(C)cc1O
131,CC(C)=C1C[NH2+]C1
132,CC(=O)N1C[CH]Sc2ccccc21
133,[CH]c1ccc(C)n(CCO)c1=O
134,[CH]Oc1ccc(N)cc1C(=O)[O-]
135,[CH]C(=C)C(C(=C)C)c1cc(O)ccc1F
