,test_redox,test_redox_true,test_true_solu,pred_test_solu,test_redox_std,test_solu_std
0,0.20527726,0.35969108,-3.9324222,-3.9055698,0.04076739,0.06151595
1,0.80153936,0.825658,-3.098217,-3.1354718,0.029969197,0.049812846
2,0.82541066,0.84477425,-4.021002,-3.9750085,0.040057387,0.06258048
3,0.69908595,0.83740777,-3.1798215,-3.1722791,0.03046682,0.04908747
4,0.62223226,0.58283335,-3.4091754,-3.4125512,0.026594378,0.04799359
5,0.29604468,0.36371523,-3.7715034,-3.7703028,0.034884095,0.05805565
6,1.0947714,1.1676618,-3.4023466,-3.3904161,0.04197614,0.05774566
7,0.31266975,0.24565127,-3.756427,-3.7149975,0.03564159,0.053796217
8,1.0944959,1.0557588,-3.7158632,-3.739767,0.04273939,0.06714857
9,0.98188925,1.0120777,-4.212539,-4.1821995,0.04779155,0.07206675
10,-0.008936202,-0.036733005,-3.9903107,-3.8497322,0.046111073,0.062571034
11,1.1239963,1.3035878,-3.786527,-3.8335886,0.047935955,0.06934714
12,0.85969085,0.83766955,-3.7949996,-3.771881,0.0363492,0.05663651
13,0.73719144,0.6391836,-3.713263,-3.7462463,0.036051042,0.055480197
14,0.41398785,0.4323388,-4.423942,-4.3136973,0.04506289,0.07408762
15,1.0103946,1.067612,-3.4467835,-3.409619,0.038834974,0.059069015
16,0.9564299,0.9582235,-3.7269163,-3.6774132,0.036713444,0.054267462
17,0.7308967,0.7482373,-3.933776,-3.8798099,0.03718137,0.060797743
18,0.4583537,0.6132488,-3.5014846,-3.4091578,0.02433898,0.04892392
19,0.53737533,0.5532154,-3.643785,-3.8140469,0.033206828,0.058033314
20,0.5590854,0.49120337,-3.8535352,-3.7811544,0.041751593,0.06227826
21,0.29588336,0.23347534,-3.7173498,-3.7834451,0.041610092,0.05972789
22,0.32366198,0.40362793,-3.5286098,-3.6007469,0.03689795,0.049994856
23,0.4015476,0.4267196,-3.6652899,-3.682582,0.030990444,0.05532511
24,0.85173327,0.74986285,-3.8359754,-3.8303099,0.03854533,0.06606602
25,0.35608876,0.34107408,-3.8508608,-3.7731915,0.03602307,0.05903462
26,0.32795578,0.17694247,-3.5661988,-3.5299745,0.035317075,0.0608903
27,0.24604669,0.24620529,-3.855256,-3.823014,0.03861392,0.05716439
28,0.9542382,1.0266036,-3.389323,-3.3947096,0.036543176,0.0537341
29,1.1996875,1.2065943,-3.3126664,-3.4183924,0.047465388,0.06243607
30,0.4223453,0.42471665,-3.4694753,-3.3865952,0.026187235,0.047073435
31,0.44770148,0.42442444,-4.233523,-4.2130604,0.044344764,0.07172463
32,0.7911309,0.730777,-4.2412205,-4.146685,0.044683024,0.06800755
33,0.35464013,0.25088692,-2.831987,-2.8567026,0.040536787,0.08064025
34,1.1069008,0.9370009,-3.5733442,-3.6274488,0.043139495,0.060633585
35,0.51128614,0.5034463,-4.1099935,-4.0490723,0.037070587,0.06294063
36,0.49693203,0.5642833,-4.1973133,-4.140471,0.039740704,0.068586364
37,0.36960182,0.65972435,-3.0204175,-3.0594132,0.033352956,0.05387185
38,0.50918996,0.5147151,-4.191156,-4.039341,0.036999654,0.06999573
39,0.5246096,0.7546662,-3.0229716,-3.0129316,0.0395026,0.051773272
40,0.73089105,0.6378503,-3.2626383,-3.247224,0.03208672,0.054152776
41,0.9356831,1.0536706,-3.8354201,-3.9005837,0.0440515,0.06514974
42,0.19523227,0.19118223,-3.723596,-3.7116687,0.036981646,0.054823913
43,0.28797653,0.40995944,-3.9969873,-3.9195788,0.039196383,0.060823034
44,0.96381,0.98011583,-3.9589052,-3.9480932,0.041469496,0.064053684
45,0.86875707,0.75817287,-2.505195,-2.6052878,0.0660527,0.124390356
46,1.1805549,1.1214784,-3.0532646,-3.0093403,0.051314443,0.07688811
47,0.5418378,0.5838805,-3.8259816,-3.8892212,0.036180485,0.06268346
48,0.69521606,0.74772596,-4.0010066,-3.922372,0.037174463,0.063119285
49,-0.13160527,-0.12810731,-3.5300875,-3.5690427,0.049574826,0.063958146
50,0.77673227,0.7406761,-3.0325885,-3.0018277,0.035725188,0.060122423
51,0.21798411,0.18548998,-4.1444035,-4.146851,0.04606582,0.068369925
52,0.20354651,0.17557877,-4.1834297,-4.2074943,0.048744775,0.07019579
53,0.37586263,0.27888548,-4.020771,-4.0676885,0.039259512,0.06739531
54,0.076953225,0.07063439,-3.7834017,-3.7541492,0.042437512,0.05814942
55,0.7532763,0.71042496,-4.0496464,-4.0157604,0.04031121,0.06393859
56,0.43493363,0.3941368,-3.2135077,-3.121264,0.027827268,0.050598286
57,0.47496194,0.4768175,-3.788311,-3.7731998,0.034259435,0.056770314
58,0.8326958,0.86044466,-3.7216566,-3.787793,0.03533358,0.05641726
59,0.6017119,0.54684126,-4.3551626,-4.2811503,0.04495751,0.07309698
60,0.530627,0.50744605,-4.2565355,-4.1301026,0.041549355,0.06972725
61,0.41081882,0.51861745,-1.9364538,-2.0455418,0.11336974,0.19194625
62,0.8416119,0.67659414,-3.6323173,-3.6322393,0.042081967,0.06280429
63,0.3571276,0.34084272,-3.9373226,-3.8927245,0.039128434,0.0639709
64,-0.12216824,-0.15855932,-3.799583,-3.8742733,0.04860973,0.066837616
65,0.42191502,0.5246872,-3.1648219,-3.1707358,0.022577705,0.052719157
66,1.2098203,1.1926773,-4.08049,-4.067057,0.051522914,0.07447815
67,0.090209916,0.09699529,-4.330979,-4.3267484,0.054120507,0.07795212
68,0.38859037,0.5675465,-3.687025,-3.6312363,0.032201055,0.05157998
69,0.90923554,0.9396674,-4.130862,-4.124988,0.049453318,0.07352228
70,0.50416344,0.47263506,-3.2292213,-3.1717596,0.023164561,0.050772976
71,0.43320617,0.43784842,-4.3740106,-4.3988376,0.048475154,0.084028326
72,0.92264783,0.97109956,-3.755948,-3.806097,0.038180605,0.052754246
73,-0.045376133,-0.033938628,-3.7300959,-3.678696,0.04362291,0.06352827
74,0.17014097,0.20209795,-3.5253048,-3.5110192,0.03442232,0.051974107
75,0.88080984,0.9190474,-3.4607177,-3.4246175,0.03566689,0.051704682
76,0.5777523,0.5922088,-3.7700415,-3.7850997,0.033572756,0.058297753
77,0.61959213,0.6317258,-4.300613,-4.320637,0.044975366,0.07547219
78,0.54095805,0.599764,-4.136513,-4.0758586,0.04170525,0.063514695
79,0.4214753,0.38109636,-3.653905,-3.6379712,0.03287872,0.06126245
80,0.72639865,0.7989379,-4.4097633,-4.324995,0.05027024,0.079392254
81,0.48493588,0.41921315,-2.2036278,-2.2252216,0.08825036,0.15423603
82,0.3679929,0.4951727,-3.5246162,-3.4736114,0.030778065,0.05067826
83,0.06758769,0.107503116,-3.8308833,-3.8011587,0.039862268,0.05834878
84,0.14345597,0.11901546,-3.6851416,-3.642094,0.03844107,0.053563662
85,0.54319775,0.5604662,-3.7372315,-3.7699697,0.033592366,0.056119118
86,0.56738317,0.41176146,-3.6477156,-3.6628306,0.033314902,0.05151712
87,0.49665695,0.5057414,-3.7061024,-3.6803885,0.029176898,0.05369702
